id,demand_for_prison,country_first_letter,lat,lng,date
54534,18154,E,51.5129774831,-0.127985661204,2016-01-01
24368,13846,E,53.4784782457,-2.24254811015,2016-01-01
54362,11041,E,51.513206477,-0.14238830667,2016-01-01
29223,9816,E,52.4808807442,-1.89835789544,2016-01-01
33377,9638,E,54.9699979189,-1.61101637765,2016-01-01
54637,7894,E,50.8207343004,-0.141608706998,2016-01-01
41452,7634,E,52.9543567289,-1.15301112758,2016-01-01
14864,7552,E,53.4028007011,-2.9791267997,2016-01-01
19291,7200,E,51.4544864455,-2.59145754003,2016-01-01
54536,6925,E,51.5309507338,-0.127248446793,2016-01-01
36007,6762,E,53.3786995464,-1.4753333408,2016-01-01
54365,6234,E,51.5401665493,-0.141290697575,2016-01-01
12559,6192,W,51.4769934139,-3.18212024154,2016-01-01
56032,5962,E,51.5377948048,0.00281196392552,2016-01-01
54360,5918,E,51.4952330169,-0.143119098525,2016-01-01
14191,5823,E,53.8156824545,-3.04948346607,2016-01-01
35964,5806,E,52.9202827686,-1.4808885786,2016-01-01
34668,5718,E,53.80144154,-1.54598921142,2016-01-01
42191,5446,E,53.9606141293,-1.08702808457,2016-01-01
55211,5349,E,51.5210301678,-0.0699971664638,2016-01-01
55053,5229,E,51.5212663068,-0.0844018705097,2016-01-01
54194,5093,E,51.5134337034,-0.156791141602,2016-01-01
24369,5059,E,53.4874665961,-2.24259943867,2016-01-01
50833,5058,E,51.8769253908,-0.417992086709,2016-01-01
54692,5007,E,51.4588270343,-0.115807229942,2016-01-01
34667,4985,E,53.7924538655,-1.54608621477,2016-01-01
31177,4974,E,53.7930694633,-1.75860079177,2016-01-01
24495,4813,E,52.1930313519,-2.22085439498,2016-01-01
55054,4730,E,51.530252701,-0.084024669321,2016-01-01
54535,4623,E,51.5219641164,-0.127617149528,2016-01-01
42808,4508,E,50.7960391035,-1.09328565642,2016-01-01
55051,4404,E,51.503293471,-0.0851556866499,2016-01-01
54697,4371,E,51.5037601466,-0.113954357432,2016-01-01
54707,4350,E,51.5936251881,-0.110234176201,2016-01-01
39692,4272,E,54.5728510758,-1.2435587503,2016-01-01
14192,4255,E,53.8246688661,-3.04970811187,2016-01-01
54700,4199,E,51.5307198247,-0.112840327822,2016-01-01
54363,4189,E,51.5221931835,-0.14202262661,2016-01-01
40009,4158,E,51.7503813039,-1.2626274439,2016-01-01
55384,4147,E,51.5207922609,-0.0555926593401,2016-01-01
